year,cbsa_code,cbsa_title,total_population,median_age,median_household_income,per_capita_income,total_housing_units,owner_occupied_units,renter_occupied_units,homeownership_rate,median_home_value,median_gross_rent,rent_as_pct_of_income,population_yoy,income_yoy
2011,36860,"Ottawa-Streator, IL Micro Area",154817,41.3,51423,25420,68667,47264,14622,76.37,120900,639,26.8,-0.02,2.24
2010,36860,"Ottawa-Streator, IL Micro Area",154854,41.1,50295,24861,68523,47578,14863,76.20,119700,629,26.9,,
2023,36900,"Ottumwa, IA Micro Area",35265,39.9,60034,33337,15740,9501,4587,67.44,112900,950,28.5,-0.08,6.80
2022,36900,"Ottumwa, IA Micro Area",35292,39.4,56209,30025,15754,9413,4780,66.32,105800,909,29.2,-0.14,9.74
2021,36900,"Ottumwa, IA Micro Area",35343,39.2,51222,27616,15785,9467,4653,67.05,89600,844,28.5,0.69,10.31
2020,36900,"Ottumwa, IA Micro Area",35102,39.6,46433,25760,16080,9752,4652,67.70,87400,767,29.0,-0.11,0.40
2019,36900,"Ottumwa, IA Micro Area",35141,39.6,46246,26424,16070,10357,4124,71.52,82100,718,29.2,-20.50,-3.08
2018,36900,"Ottumwa, IA Micro Area",44200,38.7,47715,25193,19663,13086,4547,74.21,88000,679,29.3,0.10,6.36
2017,36900,"Ottumwa, IA Micro Area",44155,39.0,44863,23880,19681,13057,4729,73.41,85800,638,30.7,0.33,2.37
2016,36900,"Ottumwa, IA Micro Area",44010,39.2,43824,23373,19607,13075,4609,73.94,84800,621,31.7,-0.11,1.59
2015,36900,"Ottumwa, IA Micro Area",44057,39.5,43138,22945,19600,13113,4545,74.26,83100,608,30.5,-0.26,2.25
2014,36900,"Ottumwa, IA Micro Area",44171,39.5,42189,22135,19648,13051,4642,73.76,80000,613,30.6,-0.12,0.38
2013,36900,"Ottumwa, IA Micro Area",44224,39.5,42031,22602,19638,13084,4565,74.13,81600,594,30.3,24.75,2.30
2012,36900,"Ottumwa, IA Micro Area",35449,39.9,41088,22825,16085,10814,3756,74.22,77500,592,28.9,-0.07,2.03
2011,36900,"Ottumwa, IA Micro Area",35473,40.2,40269,22570,16098,11127,3644,75.33,76800,570,28.6,-0.23,0.44
2010,36900,"Ottumwa, IA Micro Area",35553,39.8,40093,22376,16134,11296,3468,76.51,74800,565,26.5,,
2023,36940,"Owatonna, MN Micro Area",37413,40.2,83448,41392,15878,11986,3015,79.90,234200,1006,33.4,0.05,4.67
2022,36940,"Owatonna, MN Micro Area",37396,39.9,79722,40146,15731,11624,3387,77.44,217100,914,33.4,0.09,8.51
2021,36940,"Owatonna, MN Micro Area",37363,39.6,73468,36897,15663,11488,3423,77.04,185200,846,33.2,1.78,7.77
2020,36940,"Owatonna, MN Micro Area",36710,39.2,68172,34648,15710,11393,3443,76.79,173400,802,31.3,0.07,5.04
2019,36940,"Owatonna, MN Micro Area",36683,39.0,64903,32477,15628,11043,3649,75.16,169300,770,28.8,0.02,3.46
2018,36940,"Owatonna, MN Micro Area",36676,38.9,62731,30822,15545,10952,3546,75.54,158500,742,28.3,0.17,6.54
2017,36940,"Owatonna, MN Micro Area",36612,39.3,58882,29930,15503,11050,3400,76.47,154300,758,29.4,0.19,1.27
2016,36940,"Owatonna, MN Micro Area",36541,39.5,58141,28736,15411,10916,3438,76.05,149700,726,29.5,0.05,0.49
2015,36940,"Owatonna, MN Micro Area",36523,39.8,57858,28087,15395,10896,3375,76.35,150500,731,31.2,0.14,3.76
2014,36940,"Owatonna, MN Micro Area",36472,39.7,55764,27596,15387,11011,3328,76.79,150600,713,32.3,-0.11,-1.27
2013,36940,"Owatonna, MN Micro Area",36512,39.4,56480,27259,15341,11006,3348,76.68,155400,720,30.0,-0.03,-3.29
2012,36940,"Owatonna, MN Micro Area",36524,38.8,58403,26831,15329,10964,3226,77.27,157500,689,29.5,-0.01,1.94
2011,36940,"Owatonna, MN Micro Area",36529,38.3,57290,26114,15265,10968,3085,78.05,158800,674,30.4,0.26,3.56
2010,36940,"Owatonna, MN Micro Area",36434,38.0,55321,25062,15202,11155,2983,78.90,156300,650,29.0,,
2023,36980,"Owensboro, KY Metro Area",112322,39.1,65656,35046,48370,30408,14357,67.93,182100,894,26.8,-7.28,2.00
2022,36980,"Owensboro, KY Metro Area",121147,39.1,64366,33281,52009,33296,14501,69.66,164600,874,26.5,0.35,10.91
2021,36980,"Owensboro, KY Metro Area",120720,39.2,58036,31151,51766,33206,14505,69.60,145300,818,26.4,1.49,5.62
2020,36980,"Owensboro, KY Metro Area",118951,39.4,54946,29690,51385,32450,14890,68.55,139300,795,26.4,0.40,5.57
2019,36980,"Owensboro, KY Metro Area",118477,39.1,52046,28263,51154,32906,14393,69.57,129400,755,27.7,0.42,3.86
2018,36980,"Owensboro, KY Metro Area",117987,38.9,50114,26941,50990,32184,14743,68.58,125500,718,28.3,0.57,3.93
2017,36980,"Owensboro, KY Metro Area",117319,39.3,48217,25911,50756,32324,14408,69.17,119700,687,27.9,0.33,3.14
2016,36980,"Owensboro, KY Metro Area",116932,39.4,46749,24527,50463,32239,14048,69.65,116400,651,29.2,0.51,1.76
2015,36980,"Owensboro, KY Metro Area",116342,39.5,45939,23583,50178,32154,13406,70.58,112700,635,29.0,0.47,0.66
2014,36980,"Owensboro, KY Metro Area",115795,39.6,45639,22909,49968,31847,13264,70.60,109100,634,28.7,0.38,-1.22
2013,36980,"Owensboro, KY Metro Area",115362,39.6,46205,22696,49691,32098,12710,71.63,106300,624,27.1,0.44,2.26
2012,36980,"Owensboro, KY Metro Area",114853,39.3,45185,22530,49594,31975,12561,71.80,104000,599,26.9,0.55,1.50
2011,36980,"Owensboro, KY Metro Area",114225,39.0,44518,22319,49465,31927,12426,71.98,102200,581,26.7,0.56,4.02
2010,36980,"Owensboro, KY Metro Area",113588,38.9,42799,21821,49475,31719,12895,71.10,100700,545,26.1,,
2023,37020,"Owosso, MI Micro Area",68061,43.1,64464,34107,30272,21905,5713,79.31,164600,876,29.0,,
2018,37020,"Owosso, MI Micro Area",68493,42.4,54742,27398,30242,20899,6842,75.34,115300,726,28.1,-0.18,7.41
2017,37020,"Owosso, MI Micro Area",68617,42.0,50967,25218,30240,20898,6725,75.65,111000,705,28.5,-0.27,5.15
2016,37020,"Owosso, MI Micro Area",68800,41.7,48470,23927,30072,20844,6636,75.85,105500,683,29.0,-0.45,0.49
2015,37020,"Owosso, MI Micro Area",69113,41.5,48233,23582,30129,20857,6552,76.10,105100,673,29.2,-0.63,1.07
2014,37020,"Owosso, MI Micro Area",69553,41.3,47723,23206,30184,21027,6408,76.64,104700,675,29.4,-0.51,3.26
2013,37020,"Owosso, MI Micro Area",69910,40.8,46217,22713,30238,21258,6227,77.34,108300,672,29.9,-0.70,-1.89
2012,37020,"Owosso, MI Micro Area",70402,40.4,47106,22957,30291,21409,5969,78.20,114500,651,31.8,-0.86,-0.94
2011,37020,"Owosso, MI Micro Area",71016,39.6,47552,22727,30339,21544,6037,78.11,122800,646,31.6,-0.84,2.37
2010,37020,"Owosso, MI Micro Area",71621,39.4,46453,21869,30424,21814,5825,78.92,129300,637,32.6,,
2023,37060,"Oxford, MS Micro Area",69359,32.6,61617,33169,34894,15245,8302,64.74,222900,1036,31.3,23.48,3.13
2022,37060,"Oxford, MS Micro Area",56172,30.7,59748,32536,28147,12041,6661,64.38,242800,1092,33.0,0.80,9.19
2021,37060,"Oxford, MS Micro Area",55727,31.2,54720,30059,27736,11912,7058,62.79,221100,1002,34.9,3.09,2.63
2020,37060,"Oxford, MS Micro Area",54059,30.5,53318,28567,26091,11292,7293,60.76,217900,968,35.5,0.88,6.06
2019,37060,"Oxford, MS Micro Area",53590,30.5,50272,27765,25653,11616,7105,62.05,199700,954,37.0,0.25,6.66
2018,37060,"Oxford, MS Micro Area",53459,29.9,47132,26154,25266,11822,7495,61.20,188600,914,38.8,1.36,4.69
2017,37060,"Oxford, MS Micro Area",52744,29.3,45019,25719,24669,11551,8216,58.44,177300,862,40.6,1.06,4.30
2016,37060,"Oxford, MS Micro Area",52193,29.2,43162,23833,23993,10914,7874,58.09,163500,840,40.9,2.00,-3.32
2015,37060,"Oxford, MS Micro Area",51169,28.5,44643,23227,23524,10351,6983,59.72,159200,800,41.4,1.82,7.98
2014,37060,"Oxford, MS Micro Area",50256,27.6,41343,21838,23180,9825,6732,59.34,151700,799,41.8,2.76,-4.58
2013,37060,"Oxford, MS Micro Area",48905,27.7,43328,21388,22811,9351,6392,59.40,163000,796,39.3,2.77,1.50
2012,37060,"Oxford, MS Micro Area",47586,27.3,42688,21206,22532,9542,5759,62.36,159900,787,38.0,1.89,3.70
2011,37060,"Oxford, MS Micro Area",46702,26.8,41166,21854,22249,9834,6110,61.68,158000,760,36.5,1.84,5.34
2010,37060,"Oxford, MS Micro Area",45859,26.8,39080,21267,21646,9831,6587,59.88,149800,737,37.6,,
2018,37080,"Oxford, NC Micro Area",58874,42.6,55628,26228,24069,15485,5545,73.63,149400,805,31.7,0.63,6.79
2017,37080,"Oxford, NC Micro Area",58503,42.5,52089,24859,23784,15367,5578,73.37,146100,776,29.5,0.28,3.52
2016,37080,"Oxford, NC Micro Area",58341,41.9,50317,23563,23309,14814,5713,72.17,141200,752,29.9,0.40,0.18
2015,37080,"Oxford, NC Micro Area",58109,41.4,50225,23127,23136,14666,5557,72.52,142600,768,28.5,0.27,1.15
2014,37080,"Oxford, NC Micro Area",57955,41.0,49655,22756,23025,14920,5063,74.66,137800,752,27.4,-0.40,-0.40
2013,37080,"Oxford, NC Micro Area",58188,40.2,49852,22295,22885,14953,5000,74.94,137100,739,27.6,,
2023,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",838259,39.4,107327,48416,294651,178388,99657,64.16,768400,2248,34.4,-0.45,5.08
2022,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",842009,39.0,102141,45846,293491,176575,99078,64.06,719100,2140,34.5,-0.38,8.49
2021,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",845255,38.7,94150,41863,292220,174394,100077,63.54,633900,1976,34.2,-0.04,5.44
2020,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",845599,38.5,89295,39403,289425,172037,99602,63.33,609200,1854,34.2,-0.20,1.32
2019,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",847263,38.1,88131,38595,288896,171174,99866,63.15,588400,1776,33.8,-0.10,4.90
2018,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",848112,37.9,84017,36891,287498,171554,99672,63.25,559700,1705,33.9,0.03,2.49
2017,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",847834,37.5,81972,35771,285997,170678,99368,63.20,520300,1643,33.8,0.56,4.30
2016,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",843110,37.3,78593,34331,284759,170877,98461,63.44,481400,1572,34.2,0.27,1.61
2015,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",840833,37.1,77348,33435,283899,172609,96360,64.17,458100,1507,34.2,0.60,0.02
2014,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",835790,36.9,77335,33308,283047,172637,95192,64.46,444800,1494,34.1,0.82,1.03
2013,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",829017,36.6,76544,32930,282231,173340,93736,64.90,442200,1470,34.3,0.76,0.08
2012,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",822794,36.4,76483,32826,281245,173802,92149,65.35,465600,1447,33.9,0.86,-0.32
2011,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",815745,36.2,76728,32740,280758,174310,90672,65.78,515900,1428,33.1,0.82,1.83
2010,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",809080,36.0,75348,32348,279398,175452,88853,66.38,568700,1391,32.7,,
2023,37120,"Ozark, AL Micro Area",49516,38.0,53955,29344,22910,12127,7642,61.34,129100,863,24.7,0.12,2.16
2022,37120,"Ozark, AL Micro Area",49455,37.7,52813,28312,22829,11669,7731,60.15,123800,829,24.8,0.02,5.52
2021,37120,"Ozark, AL Micro Area",49443,37.9,50052,26469,22790,11617,7853,59.67,112900,772,25.9,0.30,9.66
2020,37120,"Ozark, AL Micro Area",49293,37.8,45644,24473,23151,11380,8025,58.64,113800,753,27.0,0.03,-3.33
2019,37120,"Ozark, AL Micro Area",49277,37.3,47214,24645,23103,11300,7506,60.09,112000,730,25.0,0.04,2.73
2018,37120,"Ozark, AL Micro Area",49255,37.5,45960,23837,23065,11239,7431,60.20,110100,725,28.0,-0.28,2.79
2017,37120,"Ozark, AL Micro Area",49393,37.1,44711,23194,23000,11237,7588,59.69,108000,672,29.8,-0.43,1.40
2016,37120,"Ozark, AL Micro Area",49607,36.9,44093,22834,22839,11413,7381,60.73,103800,636,28.6,-0.52,-2.08
2015,37120,"Ozark, AL Micro Area",49866,36.8,45028,22566,22822,11792,7226,62.00,101700,629,27.2,-0.29,1.25
2014,37120,"Ozark, AL Micro Area",50013,36.6,44473,22368,22793,11953,7517,61.39,103300,621,27.9,-0.18,-0.93
2013,37120,"Ozark, AL Micro Area",50102,36.1,44889,22685,22693,11825,7520,61.13,99400,616,27.9,,
2023,37140,"Paducah, KY-IL Metro Area",102924,43.3,62286,36357,49618,29573,11695,71.66,160500,854,27.7,4.57,7.46
2022,37140,"Paducah, KY-IL Micro Area",98430,43.2,57960,34421,47259,27534,11375,70.77,152900,837,28.3,-0.05,7.55
2021,37140,"Paducah, KY-IL Micro Area",98477,43.1,53891,30711,47216,27371,11662,70.12,132400,766,27.9,1.93,12.72
2020,37140,"Paducah, KY-IL Micro Area",96612,43.1,47811,28854,48130,27881,12380,69.25,126200,736,27.8,-0.15,2.63
2019,37140,"Paducah, KY-IL Micro Area",96754,42.8,46584,30027,47953,28050,12548,69.09,122300,708,27.7,-0.32,4.71
2018,37140,"Paducah, KY-IL Micro Area",97067,42.8,44489,29694,47844,28395,12509,69.42,120000,686,28.9,-0.26,3.66
2017,37140,"Paducah, KY-IL Micro Area",97319,42.9,42917,27994,47648,28442,12440,69.57,114600,642,29.0,-0.43,0.62
2016,37140,"Paducah, KY-IL Micro Area",97744,43.1,42653,27298,47292,28636,12397,69.79,111200,635,29.0,-0.34,-1.32
2015,37140,"Paducah, KY-IL Micro Area",98074,43.0,43222,26805,47158,28585,12030,70.38,109300,614,27.8,-0.34,0.45
2014,37140,"Paducah, KY-IL Micro Area",98410,42.9,43028,25222,47048,28622,11787,70.83,105500,606,28.9,-0.23,-2.44
2013,37140,"Paducah, KY-IL Micro Area",98641,42.5,44104,24661,46931,28610,11376,71.55,102700,588,26.8,-0.03,0.67
2012,37140,"Paducah, KY-IL Micro Area",98675,42.3,43810,24495,47010,29085,11297,72.02,103600,578,26.8,0.05,2.17
2011,37140,"Paducah, KY-IL Micro Area",98628,41.9,42879,24190,46956,29431,10936,72.91,99400,565,27.1,0.25,3.85
2010,37140,"Paducah, KY-IL Micro Area",98381,41.7,41288,23484,47002,29852,10950,73.16,96100,540,27.5,,
2023,37220,"Pahrump, NV Micro Area",53207,52.4,55975,32336,25186,16508,5435,75.23,266000,1013,28.3,2.92,4.43
2022,37220,"Pahrump, NV Micro Area",51698,52.9,53602,30751,25017,16407,5440,75.10,235500,1004,28.7,3.20,1.96
2021,37220,"Pahrump, NV Micro Area",50096,52.9,52570,28337,24793,15541,5870,72.58,197700,900,28.2,10.07,11.12
2020,37220,"Pahrump, NV Micro Area",45514,53.1,47308,25622,22448,13771,5482,71.53,172300,821,27.9,2.56,0.02
2019,37220,"Pahrump, NV Micro Area",44380,53.1,47300,25558,22404,13517,5571,70.81,163300,850,28.3,1.54,3.48
2018,37220,"Pahrump, NV Micro Area",43705,52.7,45711,25092,22339,13252,5416,70.99,139100,806,27.9,0.94,3.36
2017,37220,"Pahrump, NV Micro Area",43296,51.6,44225,23740,22348,12529,5548,69.31,125100,792,27.9,0.23,4.63
2016,37220,"Pahrump, NV Micro Area",43198,51.2,42266,23075,21786,12058,5406,69.04,109100,787,29.4,1.34,1.33
2015,37220,"Pahrump, NV Micro Area",42625,50.8,41712,23085,21903,12287,5140,70.51,105900,778,29.8,-0.73,-0.11
2014,37220,"Pahrump, NV Micro Area",42938,50.3,41757,23035,22051,12524,5279,70.35,102300,803,31.3,-0.99,4.72
2013,37220,"Pahrump, NV Micro Area",43368,49.7,39876,21838,21957,12794,5252,70.90,112600,838,35.0,-0.99,1.85
2012,37220,"Pahrump, NV Micro Area",43801,48.8,39150,22109,21974,12805,5469,70.07,124400,884,37.4,-0.57,-1.48
2011,37220,"Pahrump, NV Micro Area",44052,48.1,39740,22503,21921,13146,5202,71.65,142800,857,39.2,0.40,-3.50
2010,37220,"Pahrump, NV Micro Area",43878,47.4,41181,22687,21322,12887,5056,71.82,161700,852,34.5,,
2023,37260,"Palatka, FL Micro Area",74235,45.0,47256,26908,36614,22256,8394,72.61,147300,902,31.0,0.86,5.36
2022,37260,"Palatka, FL Micro Area",73604,45.1,44852,25966,36183,21737,8045,72.99,125700,844,30.7,0.62,12.20
2021,37260,"Palatka, FL Micro Area",73147,45.1,39975,22814,36133,20960,8214,71.84,111200,753,31.6,-0.86,-0.23
2020,37260,"Palatka, FL Micro Area",73784,45.0,40068,22257,37497,21286,8536,71.38,103400,742,30.2,0.73,6.37
2019,37260,"Palatka, FL Micro Area",73252,45.1,37670,20915,37415,20472,8471,70.73,89100,728,31.6,0.67,5.67
2018,37260,"Palatka, FL Micro Area",72766,45.0,35649,19976,37284,20641,7623,73.03,84500,708,35.3,0.46,6.04
2017,37260,"Palatka, FL Micro Area",72435,44.8,33619,18950,37251,20321,7630,72.70,82800,679,35.9,0.18,1.87
2016,37260,"Palatka, FL Micro Area",72304,44.5,33003,18561,36681,19905,7401,72.90,84100,672,34.5,-0.54,4.06
2015,37260,"Palatka, FL Micro Area",72696,44.1,31715,18082,36824,20381,7302,73.62,85500,665,35.0,-0.68,-3.05
2014,37260,"Palatka, FL Micro Area",73191,43.9,32714,18587,36961,20937,6905,75.20,86600,655,34.6,-0.67,0.67
2013,37260,"Palatka, FL Micro Area",73683,43.7,32497,18377,36928,21408,6639,76.33,89600,634,36.0,-0.73,-5.61
2012,37260,"Palatka, FL Micro Area",74224,43.2,34429,18810,37208,22030,6734,76.59,97300,628,36.2,-0.50,0.75
2011,37260,"Palatka, FL Micro Area",74595,43.1,34174,18609,37283,22435,6626,77.20,105300,610,35.6,-0.16,-1.36
2010,37260,"Palatka, FL Micro Area",74715,42.4,34645,18402,37148,22686,6482,77.78,109300,587,34.2,,
2023,37300,"Palestine, TX Micro Area",57825,39.5,58846,25793,20474,12006,5136,70.04,173400,1006,33.2,-0.43,2.44
2022,37300,"Palestine, TX Micro Area",58077,39.3,57445,23548,20287,11602,5297,68.65,154600,972,31.6,-0.10,15.50
2021,37300,"Palestine, TX Micro Area",58133,39.2,49736,20543,20125,11356,5121,68.92,119700,863,30.5,0.37,8.48
2020,37300,"Palestine, TX Micro Area",57917,39.3,45847,19168,20639,11844,4711,71.54,110000,829,29.4,0.19,5.50
2019,37300,"Palestine, TX Micro Area",57810,39.3,43455,17280,20476,11606,5071,69.59,101900,770,26.6,-0.09,0.23
2018,37300,"Palestine, TX Micro Area",57863,39.1,43355,16868,20352,11674,4785,70.93,92900,748,28.4,0.20,2.46
2017,37300,"Palestine, TX Micro Area",57747,39.1,42313,17466,20304,11748,4819,70.91,91800,748,29.0,-0.04,0.40
2016,37300,"Palestine, TX Micro Area",57772,38.9,42146,18087,20134,11896,4676,71.78,85800,731,28.4,-0.25,1.98
2015,37300,"Palestine, TX Micro Area",57915,38.9,41327,17876,20134,11791,4946,70.45,83000,721,29.2,-0.29,-2.79
2014,37300,"Palestine, TX Micro Area",58084,39.1,42511,18623,20122,12053,4557,72.56,80300,715,30.1,-0.31,4.57
2013,37300,"Palestine, TX Micro Area",58262,38.7,40653,18495,20067,11524,4854,70.36,82000,715,31.3,-0.01,-1.97
2012,37300,"Palestine, TX Micro Area",58269,38.8,41471,18699,20089,11833,4412,72.84,80600,695,30.9,0.13,2.20
2011,37300,"Palestine, TX Micro Area",58192,38.7,40577,18487,20022,11447,4545,71.58,82900,663,30.9,0.30,0.49
2010,37300,"Palestine, TX Micro Area",58016,38.5,40378,17465,19889,11715,4189,73.66,81000,647,29.4,,
2023,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",620533,46.8,75817,42738,294461,193755,58134,76.92,304400,1456,32.2,1.61,6.32
2022,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",610723,47.0,71308,40111,290314,189103,57547,76.67,278000,1327,32.1,1.52,12.06
2021,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",601573,47.0,63632,36278,286497,184854,57803,76.18,235500,1185,32.3,1.27,7.20
2020,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",594001,47.2,59359,33662,280648,178469,57536,75.62,220000,1111,30.7,1.45,4.55
2019,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",585507,47.3,56775,32176,278173,171269,59148,74.33,196400,1068,30.9,1.51,4.44
2018,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",576808,47.2,54359,30987,276294,166825,62063,72.88,177400,1018,31.6,1.52,5.48
2017,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",568183,47.1,51536,29405,274602,163565,63658,71.98,162400,971,31.8,1.34,3.25
2016,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",560683,47.0,49914,28189,272437,160836,63537,71.68,150500,936,31.7,1.28,2.02
2015,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",553591,46.6,48925,27571,271654,159654,63137,71.66,142200,909,32.1,0.86,0.91
2014,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",548891,46.3,48483,27360,271005,160380,61202,72.38,138500,904,32.5,0.59,0.92
2013,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",545667,45.9,48039,27009,270081,161976,58301,73.53,144900,899,33.0,0.30,-2.16
2012,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",544019,45.5,49099,27440,269856,164214,56200,74.50,157200,909,32.9,0.31,-1.94
2011,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",542320,45.1,50068,27927,268851,165493,54176,75.34,171200,909,32.7,0.32,1.10
2010,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",540583,44.6,49523,27606,267036,168706,52165,76.38,186900,897,33.0,,
2012,37380,"Palm Coast, FL Metro Area",95987,47.7,48134,24788,48400,28749,7074,80.25,180300,1040,33.5,1.65,-1.18
2011,37380,"Palm Coast, FL Metro Area",94431,47.2,48708,24455,48037,29418,6814,81.19,201300,1068,34.6,2.86,1.29
2010,37380,"Palm Coast, FL Metro Area",91806,47.2,48090,24939,47155,29330,6852,81.06,219100,1032,34.6,,
2023,37420,"Pampa, TX Micro Area",21916,36.9,56658,30916,10367,6083,2146,73.92,102700,897,30.2,-0.54,3.29
2022,37420,"Pampa, TX Micro Area",22036,36.8,54852,30370,10402,5925,2416,71.03,95000,843,32.0,-0.39,5.72
2021,37420,"Pampa, TX Micro Area",22122,36.4,51885,29017,10407,6019,2172,73.48,83200,786,31.5,-3.17,-5.59
2020,37420,"Pampa, TX Micro Area",22847,36.7,54957,27826,10440,5956,2216,72.88,80800,741,28.2,-1.59,11.41
2019,37420,"Pampa, TX Micro Area",23215,36.7,49327,24903,10456,6038,2147,73.77,79200,743,29.0,2.34,4.57
2018,37420,"Pampa, TX Micro Area",22685,36.6,47170,24911,10035,5963,2037,74.54,77600,740,27.9,-1.21,-2.37
2017,37420,"Pampa, TX Micro Area",22962,36.7,48314,23457,10052,5995,1976,75.21,71700,746,27.2,-0.29,6.74
2016,37420,"Pampa, TX Micro Area",23028,36.8,45264,22409,10111,5974,2227,72.84,73700,707,26.8,0.20,4.56
2015,37420,"Pampa, TX Micro Area",22983,37.0,43288,21555,10115,6067,2183,73.54,74800,674,28.4,0.93,-4.19
2014,37420,"Pampa, TX Micro Area",22771,37.7,45179,22285,10123,6208,2195,73.88,73200,644,27.0,-0.03,3.85
2013,37420,"Pampa, TX Micro Area",22777,38.0,43504,21738,10142,6244,2144,74.44,68000,615,27.7,-3.99,-3.45
2012,37420,"Pampa, TX Micro Area",23723,38.5,45057,23092,10614,6643,2169,75.39,76900,612,26.6,0.89,4.29
2011,37420,"Pampa, TX Micro Area",23513,38.4,43203,22210,10635,6512,1998,76.52,72700,594,24.7,0.59,5.68
2010,37420,"Pampa, TX Micro Area",23374,38.9,40881,20894,10659,6568,1981,76.83,66600,598,24.6,,
2023,37460,"Panama City-Panama City Beach, FL Metro Area",206627,41.4,67834,37313,117171,59383,26017,69.54,263500,1390,32.8,14.12,2.78
2022,37460,"Panama City, FL Metro Area",181055,41.2,65999,36868,104428,51208,23470,68.57,246800,1311,31.9,-0.18,9.14
2021,37460,"Panama City, FL Metro Area",181384,40.8,60473,32312,102883,49378,23503,67.75,209900,1191,31.2,0.73,7.06
2020,37460,"Panama City, FL Metro Area",180076,40.6,56483,30774,104060,49474,24062,67.28,195000,1099,31.3,-1.14,3.99
2019,37460,"Panama City, FL Metro Area",182161,39.8,54316,29290,103059,46488,24934,65.09,178400,1049,30.5,-8.25,5.94
2018,37460,"Panama City, FL Metro Area",198537,39.8,51271,27470,111726,48582,26976,64.30,170900,1012,31.0,1.22,2.82
2017,37460,"Panama City, FL Metro Area",196135,40.0,49863,26280,110809,46834,27128,63.32,165200,964,31.1,0.99,3.97
2016,37460,"Panama City, FL Metro Area",194212,40.1,47958,25234,109616,45933,27355,62.67,160500,938,31.5,1.61,2.03
2015,37460,"Panama City, FL Metro Area",191138,40.1,47003,24782,109266,45660,27611,62.32,156800,919,31.4,1.25,0.56
2014,37460,"Panama City, FL Metro Area",188769,40.1,46742,24475,109023,45239,27530,62.17,155000,927,32.0,1.22,0.14
2013,37460,"Panama City, FL Metro Area",186497,40.1,46678,23994,108666,46074,26901,63.14,155800,925,31.9,10.38,-1.45
2012,37460,"Panama City-Lynn Haven-Panama City Beach, FL Metro Area",168957,39.3,47364,24859,99518,43926,24936,63.79,163000,933,31.0,0.78,-1.79
2011,37460,"Panama City-Lynn Haven-Panama City Beach, FL Metro Area",167645,39.0,48225,25370,99212,45222,23597,65.71,168400,924,29.9,0.51,0.95
2010,37460,"Panama City-Lynn Haven-Panama City Beach, FL Metro Area",166798,38.7,47770,25033,98291,45433,23374,66.03,175500,889,29.5,,
2023,37500,"Paragould, AR Micro Area",46182,37.8,56793,27650,19420,11678,6248,65.15,162200,852,28.8,0.50,3.49
2022,37500,"Paragould, AR Micro Area",45954,37.8,54879,26941,19235,11421,6320,64.38,157400,808,27.6,0.63,6.84
2021,37500,"Paragould, AR Micro Area",45665,37.5,51367,24806,19068,11557,6026,65.73,136700,746,27.5,1.04,2.56
2020,37500,"Paragould, AR Micro Area",45197,37.7,50083,23978,19185,11771,5816,66.93,124800,725,28.0,0.58,6.43
2019,37500,"Paragould, AR Micro Area",44937,38.0,47056,23494,19007,11561,5693,67.00,118800,698,26.4,0.70,-0.93
2018,37500,"Paragould, AR Micro Area",44623,37.9,47497,22874,18849,11434,5445,67.74,113100,704,26.9,0.96,4.24
2017,37500,"Paragould, AR Micro Area",44197,37.7,45566,22094,18689,11323,5498,67.31,110400,717,27.3,1.03,6.57
2016,37500,"Paragould, AR Micro Area",43745,38.2,42755,21643,18479,11135,5631,66.41,105300,685,28.4,0.84,3.56
2015,37500,"Paragould, AR Micro Area",43382,38.3,41286,20689,18327,10787,5895,64.66,107700,670,28.4,0.96,4.52
2014,37500,"Paragould, AR Micro Area",42970,38.2,39500,20188,18181,10790,5820,64.96,101700,662,29.2,0.92,2.83
