year,zcta,total_population,median_age,median_household_income,per_capita_income,total_housing_units,owner_occupied_units,renter_occupied_units,homeownership_rate,median_home_value,median_gross_rent,rent_as_pct_of_income
2023,71659,20,35.9,-666666666,18505,16,16,0,100.00,-666666666,-666666666,-666666666.0
2023,71660,913,47.7,49079,30576,464,281,105,72.80,145100,-666666666,-666666666.0
2023,71661,121,25.0,30625,12194,86,28,2,93.33,60000,-666666666,-666666666.0
2023,71662,81,22.2,-666666666,41540,53,0,12,0.00,-666666666,-666666666,-666666666.0
2023,71663,507,45.0,45833,27478,234,184,30,85.98,64900,620,14.5
2023,71665,4889,45.1,52219,26917,2263,1398,427,76.60,127100,614,39.1
2023,71666,15,-666666666.0,-666666666,,8,8,0,100.00,-666666666,-666666666,-666666666.0
2023,71667,6927,37.5,53099,26409,3264,2072,564,78.60,111300,770,21.8
2023,71670,1031,58.2,34273,39908,692,408,124,76.69,109700,678,37.5
2023,71671,8788,40.2,42231,26951,3788,1941,1021,65.53,111900,658,26.7
2023,71674,545,54.1,47841,32248,319,226,13,94.56,46400,689,14.6
2023,71675,1846,40.0,36573,22422,1076,627,216,74.38,136600,779,27.4
2023,71676,523,59.7,26500,18450,325,176,38,82.24,42100,-666666666,41.0
2023,71677,138,63.1,43462,23940,76,58,12,82.86,38000,-666666666,-666666666.0
2023,71678,29,41.7,-666666666,,12,12,0,100.00,-666666666,-666666666,-666666666.0
2023,71701,17883,39.3,52153,26041,8834,4548,2060,68.83,106500,728,28.2
2023,71720,2306,49.1,52500,29304,1034,603,203,74.81,95000,728,20.1
2023,71721,0,-666666666.0,-666666666,-666666666,0,0,0,NaN,-666666666,-666666666,-666666666.0
2023,71722,64,65.8,46250,29786,51,27,9,75.00,12300,-666666666,-666666666.0
2023,71724,258,44.2,-666666666,25852,161,97,17,85.09,47500,-666666666,-666666666.0
2023,71725,253,54.5,31250,21432,277,101,29,77.69,89200,405,24.3
2023,71726,1011,56.4,28663,24048,842,440,71,86.11,76300,553,51.0
2023,71728,43,52.6,250001,131484,20,20,0,100.00,-666666666,-666666666,-666666666.0
2023,71730,29187,39.8,50845,30348,13774,7919,3530,69.17,123200,833,28.0
2023,71740,1595,30.7,63050,31618,830,451,120,78.98,142000,591,51.0
2023,71742,4424,42.5,43299,24691,2340,1153,534,68.35,101600,644,24.4
2023,71743,3252,40.3,50690,25094,1661,924,426,68.44,122200,693,18.8
2023,71744,2961,45.8,64750,28852,1669,893,185,82.84,103900,852,22.0
2023,71745,82,49.5,72727,31101,60,36,0,100.00,153100,-666666666,-666666666.0
2023,71747,657,59.3,36591,29987,619,277,19,93.58,79000,756,51.0
2023,71748,89,38.5,125438,37556,60,33,0,100.00,258800,-666666666,-666666666.0
2023,71749,2994,44.7,63750,39610,1492,972,177,84.60,120500,759,35.8
2023,71751,540,48.8,-666666666,25987,427,223,29,88.49,106300,775,33.5
2023,71752,638,36.5,36121,27954,462,243,81,75.00,57600,513,51.0
2023,71753,16089,31.1,45714,24914,7421,3600,2148,62.63,166900,625,25.7
2023,71758,85,72.1,-666666666,34461,232,46,20,69.70,75200,-666666666,-666666666.0
2023,71759,350,58.0,-666666666,30324,197,148,10,93.67,167200,-666666666,-666666666.0
2023,71762,3019,44.2,52621,26726,1350,833,326,71.87,100400,845,21.8
2023,71763,1543,52.5,59167,33096,828,433,135,76.23,79100,538,18.4
2023,71764,1405,57.0,38125,23425,909,454,93,83.00,63000,416,33.6
